                    Feature  Importance
23             median_16000    0.092932
37           variance_16000    0.042500
51                std_16000    0.042445
112             mfcc16_mean    0.022257
110             mfcc14_mean    0.021873
28             variance_700    0.021707
42                  std_700    0.021105
67                mfcc1_std    0.020505
127               mfcc1_var    0.020452
96               mfcc0_mean    0.016479
27             variance_300    0.016444
41                  std_300    0.015994
49                 std_8000    0.013444
35            variance_8000    0.013073
47                 std_4000    0.012532
68                mfcc2_std    0.012528
107             mfcc11_mean    0.012472
33            variance_4000    0.012467
128               mfcc2_var    0.011917
12               median_255    0.010117
34            variance_6000    0.009123
39                  std_150    0.009020
48                 std_6000    0.008624
40                  std_255    0.008535
26             variance_255    0.008263
22             median_12000    0.008252
25             variance_150    0.008172
21              median_8000    0.008115
36           variance_12000    0.008088
14               median_700    0.008021
13               median_300    0.008005
46                 std_3500    0.007974
19              median_4000    0.007812
11               median_150    0.007721
50                std_12000    0.007651
65         peak_count_16000    0.007602
15              median_1000    0.007520
17              median_2500    0.007342
32            variance_3500    0.007323
20              median_6000    0.007236
122             mfcc26_mean    0.006807
140              mfcc14_var    0.006775
18              median_3500    0.006662
10                median_85    0.006596
16              median_1500    0.006537
80               mfcc14_std    0.006433
104              mfcc8_mean    0.006376
130               mfcc4_var    0.006100
70                mfcc4_std    0.006005
105              mfcc9_mean    0.005946
126               mfcc0_var    0.005674
66                mfcc0_std    0.005506
114             mfcc18_mean    0.005462
24              variance_85    0.005346
38                   std_85    0.005309
109             mfcc13_mean    0.005294
69                mfcc3_std    0.005066
120             mfcc24_mean    0.005029
116             mfcc20_mean    0.004965
118             mfcc22_mean    0.004959
30            variance_1500    0.004870
78               mfcc12_std    0.004790
101              mfcc5_mean    0.004736
129               mfcc3_var    0.004719
45                 std_2500    0.004669
138              mfcc12_var    0.004583
97               mfcc1_mean    0.004517
44                 std_1500    0.004506
115             mfcc19_mean    0.004434
111             mfcc15_mean    0.004340
64         peak_count_12000    0.004204
7                 F1Formant    0.004051
31            variance_2500    0.004009
79               mfcc13_std    0.003994
125             mfcc29_mean    0.003980
43                 std_1000    0.003958
100              mfcc4_mean    0.003949
106             mfcc10_mean    0.003941
139              mfcc13_var    0.003750
9                 F3Formant    0.003704
55           peak_count_300    0.003515
93               mfcc27_std    0.003512
108             mfcc12_mean    0.003449
153              mfcc27_var    0.003397
29            variance_1000    0.003393
94               mfcc28_std    0.003302
99               mfcc3_mean    0.003262
155              mfcc29_var    0.003236
95               mfcc29_std    0.003214
151              mfcc25_var    0.003172
154              mfcc28_var    0.003117
89               mfcc23_std    0.003109
133               mfcc7_var    0.003102
91               mfcc25_std    0.003090
73                mfcc7_std    0.003073
117             mfcc21_mean    0.003038
102              mfcc6_mean    0.002984
87               mfcc21_std    0.002983
124             mfcc28_mean    0.002979
149              mfcc23_var    0.002946
152              mfcc26_var    0.002935
8                 F2Formant    0.002910
147              mfcc21_var    0.002884
72                mfcc6_std    0.002796
113             mfcc17_mean    0.002778
92               mfcc26_std    0.002767
132               mfcc6_var    0.002763
62          peak_count_6000    0.002737
81               mfcc15_std    0.002690
141              mfcc15_var    0.002658
84               mfcc18_std    0.002618
98               mfcc2_mean    0.002553
61          peak_count_4000    0.002543
148              mfcc22_var    0.002541
75                mfcc9_std    0.002537
103              mfcc7_mean    0.002520
135               mfcc9_var    0.002482
144              mfcc18_var    0.002459
63          peak_count_8000    0.002446
90               mfcc24_std    0.002408
150              mfcc24_var    0.002385
88               mfcc22_std    0.002379
60          peak_count_3500    0.002301
123             mfcc27_mean    0.002262
76               mfcc10_std    0.002248
119             mfcc23_mean    0.002237
85               mfcc19_std    0.002236
136              mfcc10_var    0.002221
59          peak_count_2500    0.002129
145              mfcc19_var    0.002085
74                mfcc8_std    0.002058
57          peak_count_1000    0.001990
134               mfcc8_var    0.001942
56           peak_count_700    0.001914
83               mfcc17_std    0.001913
77               mfcc11_std    0.001864
143              mfcc17_var    0.001849
54           peak_count_255    0.001833
137              mfcc11_var    0.001822
121             mfcc25_mean    0.001787
53           peak_count_150    0.001743
71                mfcc5_std    0.001724
6     avg_letter_per_second    0.001711
86               mfcc20_std    0.001700
146              mfcc20_var    0.001700
131               mfcc5_var    0.001647
142              mfcc16_var    0.001618
58          peak_count_1500    0.001607
82               mfcc16_std    0.001602
0           global_variance    0.001578
52            peak_count_85    0.001548
1       std_global_variance    0.001538
2            spoke_variance    0.001494
4      avg_time_for_phoneme    0.001480
3        std_spoke_variance    0.001474
5    avg_time_for_syllables    0.001292
